"","volume","initial_angle","basal_friction_angle","internal_friction_angle"
"668",6.3942,4.944,11.496,32.983
"669",6.6073,0.79307,10.971,16.489
"670",6.3019,5.1741,15.765,16.206
"671",6.504,1.5539,15.6,34.526
"672",7.0885,0.21936,14.178,33.696
"673",6.8534,5.6374,15.154,16.958
"674",6.7413,0.7808,10.981,15.972
"675",6.9874,6.2295,9.9572,34.878
"676",6.3986,5.6282,11.197,17.192
"677",6.5963,6.0117,15.086,34.741
"678",6.3107,0.63047,15.946,15.854
"679",6.014,4.7231,15.984,32.095
"680",6.1173,1.0477,16.416,30.942
"681",6.0009,5.4042,12.095,31.841
"682",6.0272,5.8736,11.813,18.276
"683",6.0338,5.2263,15.524,32.759
