"","volume","initial_angle","basal_friction_angle","internal_friction_angle"
"152",7.4115,6.0638,9.7172,16.304
"153",6.9215,3.815,12.333,25.298
"154",7.038,3.4561,12.784,24.263
"155",7.2006,2.6737,12.482,27.134
"156",6.5414,3.3763,13.151,24.751
"157",6.3436,3.8948,14.035,26.245
"158",6.6029,2.821,13.025,27.29
"159",6.2513,2.7228,14.237,23.647
"160",7.1368,1.8484,12.294,24.214
"161",6.8512,2.3424,12.231,25.61
"162",6.8292,4.536,12.788,27.3
"163",7.1149,4.085,11.755,23.501
"164",6.6293,2.2933,13.161,25.796
"165",6.326,1.9558,13.072,24.761
"166",6.5348,4.6771,13.574,22.642
"167",6.2975,4.174,13.17,26.587
"168",6.9281,2.64,13.241,24.907
"169",6.9962,2.8302,11.2,26.089
"170",6.9391,3.7199,11.616,23.53
"171",7.0863,3.1554,13.352,26.89
"172",6.3041,3.6831,14.642,24.399
"173",6.5392,3.0756,12.057,24.067
"174",6.3348,2.6308,14.582,27.388
"175",6.5106,3.4653,12.245,26.294
"176",7.0841,4.5728,11.593,25.542
"177",6.849,2.1368,13.905,26.196
"178",7.2115,2.011,11.269,23.726
"179",6.8666,4.4685,13.64,23.101
"180",6.6578,4.1126,13.71,25.22
"181",6.2689,4.6157,12.621,23.931
"182",6.4952,1.919,12.501,26.685
"183",6.2162,2.0847,15.123,22.759
"184",6.7567,3.0634,12.757,28.013
"185",7.005,3.6616,12.092,21.831
"186",6.7172,3.7414,13.561,29.78
"187",6.2228,2.732,13.944,28.276
"188",6.4271,3.1646,13.921,21.929
"189",6.526,3.7076,13.266,28.804
"190",6.2909,3.002,13.178,20.542
"191",6.7523,1.7073,12.674,21.938
"192",7.2335,4.0298,11.484,28.716
"193",6.9237,1.6122,13.068,28.979
"194",6.2491,4.0206,14.126,28.159
"195",6.4095,1.6705,14.074,22.056
"196",6.1327,4.1893,13.887,20.942
"197",6.4073,1.9436,13.026,29.575
"198",6.9808,3.3732,11.637,22.017
"199",6.7677,2.3639,13.8,21.489
"200",7.0731,3.6033,13.057,28.794
"201",6.871,3.1247,11.671,29.526
"202",6.2799,3.1155,13.067,22.397
"203",6.4711,3.6708,14.571,21.812
"204",6.3568,3.2168,12.882,29.116
"205",6.6512,2.4835,14.323,29.419
"206",7.0929,1.8699,12.895,28.091
"207",6.816,4.2844,11.556,28.608
"208",7.1654,4.2476,12.878,20.21
"209",6.8226,1.7288,11.682,21.001
"210",6.236,1.5815,13.064,27.905
"211",6.548,4.1433,14.257,28.55
"212",6.337,1.8853,14.487,20.737
"213",6.4535,4.039,12.438,20.298
"214",6.0646,2.9376,14.966,25.386
"215",6.0206,4.6434,15.058,25.044
"216",6.0514,4.1218,13.44,22.632
"217",6.0624,2.7811,14.13,29.995
"218",6.0558,2.4344,13.456,29.487
"219",7.1742,0.84522,12.148,24.937
"220",6.9369,1.2287,12.118,25.962
"221",7.2445,5.0667,12.291,26.626
"222",6.3766,1.3637,13.892,26.03
"223",6.5194,5.3827,12.883,25.464
"224",6.4865,5.1128,13.394,22.739
"225",6.1832,1.5079,13.379,23.296
"226",7.1324,0.37889,12.012,24.36
"227",6.8622,5.8613,13.077,24.731
"228",7.1412,5.6435,11.888,27.163
"229",6.9017,0.39117,13.222,26.743
"230",6.6447,5.711,13.193,25.151
"231",6.1964,6.1651,13.347,23.862
"232",6.4623,0.66115,13.135,27.085
"233",6.1261,0.019942,14.495,23.325
"234",6.7018,1.0078,13.854,25.522
"235",7.0533,1.4987,11.236,23.96
"236",7.0995,4.8182,11.525,26.323
"237",6.7194,5.4472,14.092,22.788
"238",6.4139,4.8428,12.762,24.692
"239",6.1503,5.441,15.077,26.167
"240",6.37,1.0508,12.679,26.831
"241",6.6183,1.4926,14.268,23.013
"242",7.0248,0.12425,13.3,24.585
"243",6.693,0.43105,12.042,25.874
"244",7.0599,6.162,13.216,26.509
"245",6.9149,5.8859,11.591,22.778
"246",6.5568,5.9963,14.113,24.927
"247",6.2074,5.757,12.784,26.079
"248",6.1459,0.36969,13.303,23.179
"249",6.6271,0.58138,14.222,27.114
"250",6.7479,0.98942,12.744,22.114
"251",7.2291,1.2011,12.506,28.179
"252",7.0907,4.9624,12.106,29.497
"253",6.8578,5.1158,13.176,20.845
"254",6.1437,5.0514,13.739,21.372
"255",6.6007,5.306,13.696,27.847
"256",6.192,1.5693,13.643,29.507
"257",6.6469,0.89431,13.46,21.157
"258",6.7655,0.55684,13.082,21.88
"259",7.0424,0.19788,11.88,28.618
"260",6.6886,5.5177,13.21,29.175
"261",7.1456,6.2142,11.682,20.044
"262",6.5084,6.0393,13.631,21.899
"263",6.1635,5.8429,13.502,28.726
"264",6.515,0.24697,13.384,29.087
"265",6.2777,0.75012,13.435,20.142
"266",6.8842,0.8575,13.431,28.54
"267",7.2203,1.3852,10.772,22.28
"268",7.0226,5.1005,13.262,20.278
"269",6.8776,5.3766,11.686,29.009
"270",6.1744,5.1803,14.79,27.866
"271",6.4293,4.8949,12.25,21.265
"272",6.5128,1.149,12.488,29.731
"273",6.2426,1.1919,14.944,20.64
"274",7.1984,0.63353,12.891,22.31
"275",6.7435,0.26845,11.666,28.335
"276",6.7897,6.1344,12.162,20.649
"277",7.1171,5.8245,13.152,29.683
"278",6.4249,5.5515,12.868,27.622
"279",6.1656,6.1743,14.994,21.343
"280",6.5238,0.77159,12.54,20.61
"281",6.2382,0.27765,14.977,29.214
"282",6.0734,5.3459,14.575,27.31
"283",6.1129,6.1221,14.215,24.233
"284",6.0887,4.8397,14.773,26.919
"285",6.0778,0.28072,15.336,26.548
"286",6.036,5.5423,15.427,27.935
"287",6.8424,3.9009,14.057,25.103
"288",7.1215,3.499,10.353,23.892
"289",7.1259,2.4498,10.645,26.841
"290",6.9655,3.0419,14.274,22.944
"291",6.3854,3.904,15.038,24.429
"292",6.4513,3.183,11.703,26.021
"293",6.2557,2.643,15.307,27.427
"294",6.5809,3.1124,11.421,23.481
"295",6.86,1.8178,11.387,24.087
"296",7.0973,2.3209,13.836,25.142
"297",7.1522,4.3028,10.827,26.724
"298",6.9479,4.6894,14.187,23.071
"299",6.5304,2.0571,14.583,24.409
"300",6.3414,1.827,11.889,25.688
"301",6.225,4.4071,12.538,23.032
"302",6.6534,4.0942,14.71,26.606
"303",7.205,3.5757,9.966,24.771
"304",6.704,3.0388,15.349,23.784
"305",7.139,3.1309,10.108,27.095
"306",6.827,3.7107,14.98,26.45
"307",6.3524,2.7535,15.779,25.278
"308",6.4974,3.8058,11.154,25.991
"309",6.5919,2.9038,11.281,22.896
"310",6.2404,3.6739,16.086,23.208
"311",6.7765,4.6679,14.782,24.565
"312",7.0577,2.008,10.059,24.185
"313",7.0951,4.6863,10.276,27.397
"314",6.9039,2.1,15.003,26.812
"315",6.6403,4.2077,15.052,25.952
"316",6.2118,1.7625,11.513,25.347
"317",6.4205,1.7411,15.457,23.228
"318",6.348,4.2568,11.424,22.954
"319",7.1962,3.137,10.747,21.528
"320",6.8864,3.7935,10.956,27.671
"321",6.983,2.5265,13.769,29.272
"322",6.9105,3.4714,14.192,20.454
"323",6.5458,3.318,11.983,22.3
"324",6.2601,2.5142,15.516,21.499
"325",6.6776,3.4438,14.354,29.448
"326",6.3304,2.6891,12.066,28.813
"327",7.0555,1.7717,10.856,28.403
"328",6.7501,4.2875,14.705,27.505
"329",7.1544,2.1184,13.414,20.396
"330",6.9259,4.5329,10.896,21.099
"331",6.2953,4.3304,15.14,21.655
"332",6.671,4.6096,11.661,28.784
"333",6.17,2.0049,12.305,20.229
"334",6.9193,3.8518,10.201,21.616
"335",6.9611,3.0112,10.478,29.692
"336",7.2247,2.413,14.296,21.167
"337",6.4337,2.6676,11.592,21.411
"338",6.1393,2.9192,16.301,28.022
"339",6.6732,3.7046,15.158,20.522
"340",6.3217,3.2137,11.369,28.96
"341",7.0138,3.9684,14.773,21.479
"342",7.0709,2.1123,14.443,29.399
"343",6.8358,1.6368,10.246,20.933
"344",6.1349,2.054,16.005,21.948
"345",6.5656,1.7135,10.911,28.247
"346",6.1283,4.22,11.967,20.806
"347",6.4117,4.674,16.011,29.624
"348",6.0909,3.3088,15.629,24.106
"349",6.1085,2.459,15.849,26.284
"350",6.0031,4.0697,16.01,25.747
"351",6.0404,2.6768,12.213,25.21
"352",6.0953,3.3272,11.648,22.72
"353",6.0448,4.7047,16.409,23.989
"354",6.047,3.3702,15.878,20.62
"355",6.0931,1.6214,12.368,29.712
"356",6.0184,2.3853,11.859,20.981
"357",7.1434,0.81454,10.815,25.981
"358",6.9303,4.7599,10.864,24.976
"359",7.2357,1.3484,13.47,23.022
"360",6.9413,5.1864,14.383,26.411
"361",6.1481,4.9225,12.469,25.015
"362",6.493,0.98635,11.712,24.097
"363",6.3634,0.96487,15.084,26.401
"364",6.6117,4.7722,14.972,22.563
"365",7.183,6.2817,13.628,24.507
"366",6.7281,0.67649,14.556,26.157
"367",6.9347,0.2255,11.221,22.856
"368",6.9786,5.5883,10.823,26.802
"369",6.6381,5.9657,14.538,25.366
"370",6.2184,0.70103,15.693,24.077
"371",6.2931,6.1681,12.327,22.964
"372",6.5436,0.68876,11.477,26.431
"373",6.9589,1.4803,14.76,25.698
"374",6.9501,5.4441,10.626,27.378
"375",7.2094,4.8213,14.272,23.657
"376",6.4886,5.3643,11.315,22.671
"377",6.1788,1.5662,11.524,26.528
"378",6.9171,0.24083,10.61,26.06
"379",7.1302,5.6711,9.9363,24.946
"380",7.1017,0.71944,14.119,23.433
"381",6.7325,5.9319,15.234,27.271
"382",6.3129,5.9749,11.452,25.327
"383",6.3195,0.20095,11.415,23.403
"384",6.9764,0.91579,13.855,27.808
"385",6.8732,4.8673,11.062,28.354
"386",7.2379,1.4097,10.602,20.767
"387",6.7875,5.1925,14.6,20.532
"388",6.2338,0.93113,12.353,27.837
"389",6.4733,1.1796,15.282,21.743
"390",6.4579,4.9532,15.228,28.94
"391",7.027,5.8276,13.891,27.954
"392",6.9545,6.1129,10.698,21.772
"393",7.1632,0.19175,13.465,20.347
"394",6.7347,0.50468,11.123,29.048
"395",6.5831,5.5668,14.62,22.456
"396",6.1305,0.35435,12.48,21.626
"397",6.2008,5.5576,12.623,29.937
"398",6.4381,0.34208,15.153,29.038
"399",6.8314,5.4011,14.683,21.431
"400",7.0819,4.8274,9.9446,27.964
"401",7.0292,1.3821,14.4,29.136
"402",6.8248,1.0815,10.494,20.181
"403",6.1678,4.9256,15.969,27.651
"404",6.2535,1.2134,15.744,21.108
